Scode,ShortName,IndustryName,IndustryCode,Trdwnt,Date,Wretnd,sz_all,sz_50,SVI_code,SVI_All,Numpstisten_A,Numneusten_A,Numnegasten_A,Numsten_A,Tpostnum_G,Pospostnum_G,Negpostnum_G,Neupostnum_G,Readnum_G,Commentnum_G
600000,浦发银行,货币金融服务,J66,2014-01,2014-01-03 00:00:00,-0.030753,-1.2445,-1.6035,,,20,2,2,45,827,304,175,348,2032285,4346
600010,包钢股份,黑色金属冶炼及压延加工业,C31,2014-01,2014-01-03 00:00:00,0.208817,-1.2445,-1.6035,13929,30894,65,445,8,648,2172,764,514,894,5920176,10777
600015,华夏银行,货币金融服务,J66,2014-01,2014-01-03 00:00:00,-0.05951,-1.2445,-1.6035,3136,31815,,,,,303,126,69,108,511738,707
600016,民生银行,货币金融服务,J66,2014-01,2014-01-03 00:00:00,-0.014249,-1.2445,-1.6035,6211,78697,,,,,337,112,80,145,563905,643
600018,上港集团,水上运输业,G55,2014-01,2014-01-03 00:00:00,-0.028409,-1.2445,-1.6035,5617,10124,,,,,165,49,44,72,272613,332
600028,中国石化,石油和天然气开采业,B07,2014-01,2014-01-03 00:00:00,-0.022321,-1.2445,-1.6035,3521,10990,7,44,7,154,303,117,74,112,307069,476
600029,南方航空,航空运输业,G56,2014-01,2014-01-03 00:00:00,-0.018182,-1.2445,-1.6035,2417,47554,,,,,58,13,16,29,94637,131
600030,中信证券,资本市场服务,J67,2014-01,2014-01-03 00:00:00,-0.040784,-1.2445,-1.6035,6248,16120,,,,,258,95,69,94,465655,599
600036,招商银行,货币金融服务,J66,2014-01,2014-01-03 00:00:00,-0.034894,-1.2445,-1.6035,4869,223607,,,,,158,58,39,61,307093,330
600048,保利地产,房地产业,K70,2014-01,2014-01-03 00:00:00,-0.01697,-1.2445,-1.6035,3624,9468,,,,,136,66,19,51,278398,501
600050,中国联通,电信、广播电视和卫星传输服务,I63,2014-01,2014-01-03 00:00:00,-0.012461,-1.2445,-1.6035,4234,141429,,,,,103,31,41,31,181607,235
600100,同方股份,计算机、通信和其他电子设备制造业,C39,2014-01,2014-01-03 00:00:00,-0.010816,-1.2445,-1.6035,4602,9373,,,,,201,84,48,69,376143,446
600104,上汽集团,汽车制造业,C36,2014-01,2014-01-03 00:00:00,-0.048798,-1.2445,-1.6035,3077,8151,,,,,113,50,31,32,182869,349
600109,国金证券,资本市场服务,J67,2014-01,2014-01-03 00:00:00,-0.007661,-1.2445,-1.6035,2533,7406,,,,,83,40,14,29,191539,178
600111,北方稀土,有色金属冶炼及压延加工业,C32,2014-01,2014-01-03 00:00:00,0.023799,-1.2445,-1.6035,8007,8128,,,,,530,201,92,237,997658,1185
600150,中国船舶,铁路、船舶、航空航天和其它运输设备制造业,C37,2014-01,2014-01-03 00:00:00,-0.031418,-1.2445,-1.6035,4109,9314,,,,,108,38,21,49,229184,381
600256,广汇能源,石油和天然气开采业,B07,2014-01,2014-01-03 00:00:00,0.012586,-1.2445,-1.6035,4008,8603,,,,,283,106,67,110,644647,1325
600406,国电南瑞,软件和信息技术服务业,I65,2014-01,2014-01-03 00:00:00,-0.009415,-1.2445,-1.6035,2593,7114,9,13,1,44,61,22,7,32,104956,108
600518,康美药业,医药制造业,C27,2014-01,2014-01-03 00:00:00,0.015,-1.2445,-1.6035,2747,8229,14,24,1,50,57,21,8,28,123457,152
600519,贵州茅台,酒、饮料和精制茶制造业,C15,2014-01,2014-01-03 00:00:00,-0.034273,-1.2445,-1.6035,3529,10926,,,,,299,87,69,143,470050,1233
600547,山东黄金,有色金属矿采选业,B09,2014-01,2014-01-03 00:00:00,0.046957,-1.2445,-1.6035,4495,12222,9,55,7,116,272,96,62,114,531391,958
600583,海油工程,开采辅助活动,B11,2014-01,2014-01-03 00:00:00,-0.042526,-1.2445,-1.6035,3216,7075,,,,,85,25,26,34,174202,322
600585,海螺水泥,非金属矿物制品业,C30,2014-01,2014-01-03 00:00:00,-0.072524,-1.2445,-1.6035,2890,7139,,,,,84,26,27,31,155419,211
600637,东方明珠,电信、广播电视和卫星传输服务,I63,2014-01,2014-01-03 00:00:00,0.004598,-1.2445,-1.6035,2174,14021,,,,,67,26,15,26,204248,257
600690,青岛海尔,电气机械及器材制造业,C38,2014-01,2014-01-03 00:00:00,-0.042564,-1.2445,-1.6035,2843,6097,,,,,48,19,14,15,108529,244
600795,国电电力,电力、热力生产和供应业,D44,2014-01,2014-01-03 00:00:00,-0.021277,-1.2445,-1.6035,3195,6994,,,,,34,17,8,9,97123,148
600837,海通证券,资本市场服务,J67,2014-01,2014-01-03 00:00:00,-0.048587,-1.2445,-1.6035,4002,12540,,,,,184,58,48,78,317357,400
600887,伊利股份,食品制造业,C14,2014-01,2014-01-03 00:00:00,-0.052968,-1.2445,-1.6035,3405,9314,,,,,258,90,54,114,504566,853
600893,中航动力,铁路、船舶、航空航天和其它运输设备制造业,C37,2014-01,2014-01-03 00:00:00,-0.019864,-1.2445,-1.6035,2337,2577,,,,,93,38,18,37,217886,282
600999,招商证券,资本市场服务,J67,2014-01,2014-01-03 00:00:00,-0.044953,-1.2445,-1.6035,3104,14440,,,,,115,44,30,41,232711,271
601006,大秦铁路,铁路运输业,G53,2014-01,2014-01-03 00:00:00,0.040595,-1.2445,-1.6035,2122,5241,21,37,5,91,37,21,3,13,93970,84
601088,中国神华,煤炭开采和洗选业,B06,2014-01,2014-01-03 00:00:00,-0.028445,-1.2445,-1.6035,2430,6236,,,,,216,56,72,88,303731,449
601166,兴业银行,货币金融服务,J66,2014-01,2014-01-03 00:00:00,-0.040434,-1.2445,-1.6035,4211,71841,35,20,7,65,403,145,75,183,705558,1045
