Scode,ShortName,IndustryName,IndustryCode,Trdwnt,Date,Wretnd,SVI_code,SVI_All,Numpstisten_A,Numneusten_A,Numnegasten_A,Numsten_A,Tpostnum_G,Pospostnum_G,Negpostnum_G,Neupostnum_G,Readnum_G,Commentnum_G
600000,浦发银行,货币金融服务,J66,2014-01,03/01/2014,-0.030753,,,20,2,2,45,827,304,175,348,2032285,4346
600000,浦发银行,货币金融服务,J66,2014-02,10/01/2014,0.02954,,,81,86,29,414,1289,434,298,557,2142618,3276
600000,浦发银行,货币金融服务,J66,2014-03,17/01/2014,-0.030818,,,,,,,883,279,228,376,1431837,2628
600000,浦发银行,货币金融服务,J66,2014-04,24/01/2014,0.012061,,,6,39,2,53,684,238,146,300,1271606,1908
600000,浦发银行,货币金融服务,J66,2014-05,30/01/2014,-0.006501,,,,,,,,,,,,
600000,浦发银行,货币金融服务,J66,2014-06,07/02/2014,0.001091,,,,,,,340,115,76,149,675978,948
600000,浦发银行,货币金融服务,J66,2014-07,14/02/2014,0.044662,,,,,,,736,290,115,331,1327025,1805
600000,浦发银行,货币金融服务,J66,2014-08,21/02/2014,-0.031283,,,,,,,888,307,196,385,1532212,2764
600000,浦发银行,货币金融服务,J66,2014-09,28/02/2014,-0.040904,,,,,,,1025,339,270,416,1706278,2902
600000,浦发银行,货币金融服务,J66,2014-10,07/03/2014,-0.020202,,,,,,,996,350,253,393,1691083,2954
600000,浦发银行,货币金融服务,J66,2014-11,14/03/2014,0.029782,,,,,,,1143,429,227,487,2339178,3985
600000,浦发银行,货币金融服务,J66,2014-12,21/03/2014,0.100111,,,273,343,89,1152,2739,1158,499,1082,6471636,8861
600000,浦发银行,货币金融服务,J66,2014-13,28/03/2014,-0.022245,,,10,167,11,199,1919,723,359,837,3538766,4888
600000,浦发银行,货币金融服务,J66,2014-14,04/04/2014,0.006205,,,,,,,986,411,215,360,2087907,3276
600000,浦发银行,货币金融服务,J66,2014-15,11/04/2014,0.053443,,,,,,,770,359,116,295,1864807,3770
600000,浦发银行,货币金融服务,J66,2014-16,18/04/2014,-0.045854,,,,,,,751,263,179,309,1572862,2549
600000,浦发银行,货币金融服务,J66,2014-17,25/04/2014,0.006135,,,,,,,722,297,143,282,1604541,2986
600000,浦发银行,货币金融服务,J66,2014-18,30/04/2014,-0.007114,,,,,,,,,,,,
600000,浦发银行,货币金融服务,J66,2014-19,09/05/2014,-0.001024,,,13,34,13,73,662,269,151,242,1368164,2365
600000,浦发银行,货币金融服务,J66,2014-20,16/05/2014,-0.001025,,,,,,,777,296,233,248,1497235,2468
600000,浦发银行,货币金融服务,J66,2014-21,23/05/2014,-0.005128,,,,,,,734,273,196,265,1635040,2843
600000,浦发银行,货币金融服务,J66,2014-22,30/05/2014,-0.013402,,,,,,,780,312,195,273,1820056,4058
600000,浦发银行,货币金融服务,J66,2014-23,06/06/2014,-0.00627,,,,,,,800,307,206,287,2389015,4111
600000,浦发银行,货币金融服务,J66,2014-24,13/06/2014,0.023134,,,,,,,735,312,161,262,2337417,4639
600000,浦发银行,货币金融服务,J66,2014-25,20/06/2014,-0.003083,,,,,,,691,290,146,255,2253435,4078
600000,浦发银行,货币金融服务,J66,2014-26,27/06/2014,-0.007216,,,,,,,885,383,184,318,2110554,4004
600000,浦发银行,货币金融服务,J66,2014-27,04/07/2014,0.011148,,,,,,,524,199,131,194,1312688,3265
600000,浦发银行,货币金融服务,J66,2014-28,11/07/2014,-0.014333,,,9,72,14,108,530,175,146,209,1204812,2595
600000,浦发银行,货币金融服务,J66,2014-29,18/07/2014,0.008949,,,,,,,426,183,91,152,1223873,2631
600000,浦发银行,货币金融服务,J66,2014-30,25/07/2014,0.04102,,,,,,,643,256,149,238,1638694,4221
600000,浦发银行,货币金融服务,J66,2014-31,01/08/2014,0.039404,,,,,,,896,359,190,347,2296496,4959
600000,浦发银行,货币金融服务,J66,2014-32,08/08/2014,-0.022541,,,,,,,937,370,190,377,1929787,3567
600000,浦发银行,货币金融服务,J66,2014-33,15/08/2014,0.014675,,,291,168,47,768,1050,487,168,395,2686734,4558
600000,浦发银行,货币金融服务,J66,2014-34,22/08/2014,-0.014463,,,,,,,1021,393,239,389,3217438,6760
600000,浦发银行,货币金融服务,J66,2014-35,29/08/2014,-0.007338,,,,,,,786,316,190,280,2157802,3750
600000,浦发银行,货币金融服务,J66,2014-36,05/09/2014,0.028511,,,42,164,5,220,852,353,186,313,2563940,4029
600000,浦发银行,货币金融服务,J66,2014-37,12/09/2014,-0.014374,,,,,,,847,315,202,330,2806362,3740
600000,浦发银行,货币金融服务,J66,2014-38,19/09/2014,0.026042,,,,,,,975,383,209,383,2791680,3707
600000,浦发银行,货币金融服务,J66,2014-39,26/09/2014,-0.013198,,,,,,,768,309,151,308,2423612,3969
600000,浦发银行,货币金融服务,J66,2014-40,30/09/2014,0.003086,,,,,,,,,,,,
600000,浦发银行,货币金融服务,J66,2014-41,10/10/2014,0.008205,,,,,,,467,218,66,183,1640151,2559
600000,浦发银行,货币金融服务,J66,2014-42,17/10/2014,0.002035,,,,,,,661,238,161,262,2559917,3414
600000,浦发银行,货币金融服务,J66,2014-43,24/10/2014,-0.017259,,,,,,,667,232,153,282,2076860,2955
600000,浦发银行,货币金融服务,J66,2014-44,31/10/2014,0.053719,,,62,26,11,158,1152,383,267,502,4031666,5714
600000,浦发银行,货币金融服务,J66,2014-45,07/11/2014,-0.001961,,,,,,,1056,407,194,455,2986609,3946
600000,浦发银行,货币金融服务,J66,2014-46,14/11/2014,0.070727,,,,,,,1518,621,281,616,4380714,5001
600000,浦发银行,货币金融服务,J66,2014-47,21/11/2014,-0.010092,,,,,,,1589,492,341,756,5661583,6239
600000,浦发银行,货币金融服务,J66,2014-48,28/11/2014,0.149212,,,27,140,1,210,1837,698,313,826,6643316,7456
600000,浦发银行,货币金融服务,J66,2014-49,05/12/2014,0.091129,,,7,9,2,34,1900,664,376,860,5191585,6630
600000,浦发银行,货币金融服务,J66,2014-50,12/12/2014,-0.04065,,,,,,,1648,548,366,734,4551767,7012
600000,浦发银行,货币金融服务,J66,2014-51,19/12/2014,0.085516,,,17,23,1,41,1422,527,281,614,3944529,6368
600000,浦发银行,货币金融服务,J66,2014-52,26/12/2014,0.048261,,,,,,,1451,573,290,588,3989532,5748
600000,浦发银行,货币金融服务,J66,2014-53,31/12/2014,0.062288,,,,,,,,,,,,
600000,浦发银行,货币金融服务,J66,2015-02,09/01/2015,-0.016571,,,,,,,1369,503,298,568,4391815,6654
600000,浦发银行,货币金融服务,J66,2015-03,16/01/2015,0.067401,,,14,49,10,218,1426,537,246,643,3835145,6412
600000,浦发银行,货币金融服务,J66,2015-04,23/01/2015,-0.051002,,,,,,,1739,615,411,713,3964699,5913
600000,浦发银行,货币金融服务,J66,2015-05,30/01/2015,-0.074216,,,,,,,1637,484,427,726,3817259,6896
600000,浦发银行,货币金融服务,J66,2015-06,06/02/2015,-0.026261,,,,,,,1434,436,391,607,3425182,6465
600000,浦发银行,货币金融服务,J66,2015-07,13/02/2015,0.024131,,,,,,,976,351,188,437,3081798,5862
600000,浦发银行,货币金融服务,J66,2015-08,17/02/2015,0.002772,,,,,,,,,,,,
600000,浦发银行,货币金融服务,J66,2015-09,27/02/2015,0.004147,,,,,,,770,272,146,352,1815797,3844
600000,浦发银行,货币金融服务,J66,2015-10,06/03/2015,-0.061941,,,,,,,1455,456,397,602,2285369,8507
600000,浦发银行,货币金融服务,J66,2015-11,13/03/2015,0.12179,,,,,,,1405,565,246,594,1302001,6965
600000,浦发银行,货币金融服务,J66,2015-12,20/03/2015,0.030085,,,151,111,37,500,1701,664,311,726,3547180,8373
