Scode,ShortName,IndustryName,IndustryCode,Trdwnt,Date,Wretnd,SVI_code,SVI_All,Numpstisten_A,Numneusten_A,Numnegasten_A,Numsten_A,Tpostnum_G,Pospostnum_G,Negpostnum_G,Neupostnum_G,Readnum_G,Commentnum_G,GB_emotion,Analyst_emotion
600000,浦发银行,货币金融服务,J66,2014-01,03/01/2014,-0.030753,,,20.0,2.0,2.0,45.0,827.0,304.0,175.0,348.0,2032285.0,4346.0,0.5941958887545344,1.5167697725
600000,浦发银行,货币金融服务,J66,2014-02,10/01/2014,0.02954,,,81.0,86.0,29.0,414.0,1289.0,434.0,298.0,557.0,2142618.0,3276.0,0.4461598138091543,0.4148263594744897
600000,浦发银行,货币金融服务,J66,2014-03,17/01/2014,-0.030818,,,,,,,883.0,279.0,228.0,376.0,1431837.0,2628.0,0.30101925254813133,
600000,浦发银行,货币金融服务,J66,2014-04,24/01/2014,0.012061,,,6.0,39.0,2.0,53.0,684.0,238.0,146.0,300.0,1271606.0,1908.0,0.5350877192982456,-0.07441734931914892
600000,浦发银行,货币金融服务,J66,2014-05,30/01/2014,-0.006501,,,,,,,,,,,,,,
600000,浦发银行,货币金融服务,J66,2014-06,07/02/2014,0.001091,,,,,,,340.0,115.0,76.0,149.0,675978.0,948.0,0.4755882352941176,
600000,浦发银行,货币金融服务,J66,2014-07,14/02/2014,0.044662,,,,,,,736.0,290.0,115.0,331.0,1327025.0,1805.0,0.8482336956521739,
600000,浦发银行,货币金融服务,J66,2014-08,21/02/2014,-0.031283,,,,,,,888.0,307.0,196.0,385.0,1532212.0,2764.0,0.5050675675675675,
600000,浦发银行,货币金融服务,J66,2014-09,28/02/2014,-0.040904,,,,,,,1025.0,339.0,270.0,416.0,1706278.0,2902.0,0.3237073170731707,
600000,浦发银行,货币金融服务,J66,2014-10,07/03/2014,-0.020202,,,,,,,996.0,350.0,253.0,393.0,1691083.0,2954.0,0.4105421686746989,
600000,浦发银行,货币金融服务,J66,2014-11,14/03/2014,0.029782,,,,,,,1143.0,429.0,227.0,487.0,2339178.0,3985.0,0.658005249343832,
600000,浦发银行,货币金融服务,J66,2014-12,21/03/2014,0.100111,,,273.0,343.0,89.0,1152.0,2739.0,1158.0,499.0,1082.0,6471636.0,8861.0,0.8403066812705366,0.3885598920297872
600000,浦发银行,货币金融服务,J66,2014-13,28/03/2014,-0.022245,,,10.0,167.0,11.0,199.0,1919.0,723.0,359.0,837.0,3538766.0,4888.0,0.6998957790515893,-0.2677121794148936
600000,浦发银行,货币金融服务,J66,2014-14,04/04/2014,0.006205,,,,,,,986.0,411.0,215.0,360.0,2087907.0,3276.0,0.7058823529411765,
600000,浦发银行,货币金融服务,J66,2014-15,11/04/2014,0.053443,,,,,,,770.0,359.0,116.0,295.0,1864807.0,3770.0,1.0616883116883118,
600000,浦发银行,货币金融服务,J66,2014-16,18/04/2014,-0.045854,,,,,,,751.0,263.0,179.0,309.0,1572862.0,2549.0,0.45898801597869515,
600000,浦发银行,货币金融服务,J66,2014-17,25/04/2014,0.006135,,,,,,,722.0,297.0,143.0,282.0,1604541.0,2986.0,0.7570637119113574,
600000,浦发银行,货币金融服务,J66,2014-18,30/04/2014,-0.007114,,,,,,,,,,,,,,
